,Word,Count,POS,Definition
48117,Dromond,7,"""""","""Alt. of Dromon"""
48118,Dromon,6,"""""","""In the Middle Ages  a large fast-sailing galley or cutter; a large swift war vessel."""
48119,Drone,5,"""v. i.""","""The male of bees  esp. of the honeybee. It gathers no honey. See Honeybee."""
48124,Droned,6,"""imp. & p. p.""","""of Drone"""
48125,Droning,7,"""p. pr. & vb. n.""","""of Drone"""
48131,Drongos,7,"""pl. ""","""of Drongo"""
48132,Drongo,6,"""n.""","""A passerine bird of the family Dicruridae. They are usually black with a deeply forked tail. They are natives of Asia  Africa and Australia; -- called also drongo shrikes."""
48133,Dronish,7,"""a.""","""Like a drone; indolent; slow."""
48135,Dronte,6,"""n.""","""The dodo."""
48136,Drony,5,"""a.""","""Like a drone; sluggish; lazy."""
48137,Drooled,7,"""imp. & p. p.""","""of Drool"""
48139,Drool,5,"""v. i.""","""To drivel  or drop saliva; as the child drools."""
48140,Drooped,7,"""imp. & p. p.""","""of Droop"""
48142,Droop,5,"""v. i.""","""To hang bending downward; to sink or hang down  as an animal plant etc. from physical inability or exhaustion want of nourishment or the like."""
48147,Drooper,7,"""n.""","""One who  or that which droops."""
48149,Drop,4,"""n.""","""The quantity of fluid which falls in one small spherical mass; a liquid globule; a minim; hence  also the smallest easily measured portion of a fluid; a small quantity; as a drop of water."""
48163,Dropped,7,"""imp. & p. p.""","""of Drop"""
48164,Dropt,5,"""""","""of Drop"""
48183,Droplet,7,"""n.""","""A little drop; a tear."""
48187,Dropper,7,"""n.""","""One who  or that which drops. Specif.: (Fishing) A fly that drops from the leaden above the bob or end fly."""
48199,Dropsy,6,"""n.""","""An unnatural collection of serous fluid in any serous cavity of the body  or in the subcutaneous cellular tissue."""
48204,Drosera,7,"""n.""","""A genus of low perennial or biennial plants  the leaves of which are beset with gland-tipped bristles. See Sundew."""
48206,Drosky,6,"""n.""","""A low  four-wheeled open carriage used in Russia consisting of a kind of long narrow bench on which the passengers ride as on a saddle with their feet reaching nearly to the ground. Other kinds of vehicles are now so called esp. a kind of victoria drawn by one or two horses and used as a public carriage in German cities."""
48208,Dross,5,"""n.""","""The scum or refuse matter which is thrown off  or falls from metals in smelting the ore or in the process of melting; recrement."""
48211,Drossel,7,"""n.""","""A slut; a hussy; a drazel."""
48213,Drossy,6,"""superl.""","""Of  pertaining to resembling dross; full of dross; impure; worthless."""
48215,Drough,6,"""imp.""","""of Draw."""
48216,Drought,7,"""n.""","""Dryness; want of rain or of water; especially  such dryness of the weather as affects the earth and prevents the growth of plants; aridity."""
48222,Droumy,6,"""a.""","""Troubled; muddy."""
48223,Drouth,6,"""n.""","""Same as Drought."""
48224,Drouthy,7,"""a.""","""Droughty."""
48233,Droven,6,"""p. p.""","""of Drive."""
48234,Drover,6,"""n.""","""One who drives cattle or sheep to market; one who makes it his business to purchase cattle  and drive them to market."""
48236,Drovy,5,"""a.""","""Turbid; muddy; filthy."""
48237,Drow,4,"""imp.""","""of Draw."""
48238,Drowned,7,"""imp. & p. p.""","""of Drown"""
48240,Drown,5,"""v. i.""","""To be suffocated in water or other fluid; to perish in water."""
48245,Drowner,7,"""n.""","""One who  or that which drowns."""
48246,Drowsed,7,"""imp. & p. p.""","""of Drowse"""
48248,Drowse,6,"""v. i.""","""To sleep imperfectly or unsoundly; to slumber; to be heavy with sleepiness; to doze."""
48255,Drowsy,6,"""superl.""","""Inclined to drowse; heavy with sleepiness; lethargic; dozy."""
48258,Drowth,6,"""n.""","""See Drought."""
48259,Droyle,6,"""v. i.""","""See Droil."""
48260,Drubbed,7,"""imp. & p. p.""","""of Drub"""
48262,Drub,4,"""v. t.""","""To beat with a stick; to thrash; to cudgel."""
48264,Drubber,7,"""n.""","""One who drubs."""
48265,Drudged,7,"""imp. & p. p.""","""of Drudge"""
48267,Drudge,6,"""v. i.""","""To perform menial work; to labor in mean or unpleasant offices with toil and fatigue."""
48270,Drudger,7,"""n.""","""One who drudges; a drudge."""
48275,Druery,6,"""n.""","""Courtship; gallantry; love; an object of love."""
48276,Drug,4,"""v. i.""","""To drudge; to toil laboriously."""
48280,Drugged,7,"""imp. & p. p.""","""of Drug"""
48286,Drugger,7,"""n.""","""A druggist."""
48287,Drugget,7,"""n.""","""A coarse woolen cloth dyed of one color or printed on one side; generally used as a covering for carpets."""
48291,Druid,5,"""n.""","""One of an order of priests which in ancient times existed among certain branches of the Celtic race  especially among the Gauls and Britons."""
48294,Druidic,7,"""a.""","""Alt. of Druidical"""
48298,Drum,4,"""n.""","""An instrument of percussion  consisting either of a hollow cylinder over each end of which is stretched a piece of skin or vellum to be beaten with a stick; or of a metallic hemisphere (kettledrum) with a single piece of skin to be so beaten; the common instrument for marking time in martial music; one of the pair of tympani in an orchestra or cavalry band."""
48308,Drummed,7,"""imp. & p. p.""","""of Drum"""
48318,Drumble,7,"""v. i.""","""To be sluggish or lazy; to be confused."""
48323,Drumlin,7,"""n.""","""A hill of compact  unstratified glacial drift or till usually elongate or oval with the larger axis parallel to the former local glacial motion."""
48324,Drumly,6,"""a.""","""Turbid; muddy."""
48329,Drummer,7,"""n.""","""One whose office is to best the drum  as in military exercises and marching."""
48353,Drupal,6,"""a.""","""Drupaceous."""
48354,Drupe,5,"""n.""","""A fruit consisting of pulpy  coriaceous or fibrous exocarp without valves containing a nut or stone with a kernel. The exocarp is succulent in the plum cherry apricot peach etc.; dry and subcoriaceous in the almond; and fibrous in the cocoanut."""
48355,Drupel,6,"""n.""","""Alt. of Drupelet"""
48357,Druse,5,"""n.""","""A cavity in a rock  having its interior surface studded with crystals and sometimes filled with water; a geode."""
48359,Drusy,5,"""a.""","""Alt. of Drused"""
48360,Drused,6,"""a.""","""Covered with a large number of minute crystals."""
48361,Druxey,6,"""a.""","""Alt. of Druxy"""
48362,Druxy,5,"""a.""","""Having decayed spots or streaks of a whitish color; -- said of timber."""
48363,Dry,3,"""superl.""","""Free from moisture; having little humidity or none; arid; not wet or moist; deficient in the natural or normal supply of moisture  as rain or fluid of any kind; -- said especially: (a) Of the weather: Free from rain or mist."""
48373,Drying,6,"""p. pr. & vb. n.""","""of Dry"""
48378,Dryad,5,"""n.""","""A wood nymph; a nymph whose life was bound up with that of her tree."""
48380,Dryades,7,"""pl. ""","""of Dryas"""
48381,Dryas,5,"""n.""","""A dryad."""
48385,Dryer,5,"""n.""","""See Drier."""
48388,Dryfoot,7,"""n.""","""The scent of the game  as far as it can be traced."""
48392,Dryly,5,"""adv.""","""In a dry manner; not succulently; without interest; without sympathy; coldly."""
48393,Dryness,7,"""n.""","""The state of being dry. See Dry."""
48404,Dryth,5,"""n.""","""Alt. of Drith"""
48405,Drith,5,"""n.""","""Drought."""
48406,Duad,4,"""n.""","""A union of two; duality."""
48407,Dual,4,"""a.""","""Expressing  or consisting of the number two; belonging to two; as the dual number of nouns etc. in Greek."""
48408,Dualin,6,"""n.""","""An explosive substance consisting essentially of sawdust or wood pulp  saturated with nitroglycerin and other similar nitro compounds. It is inferior to dynamite and is more liable to explosion."""
48409,Dualism,7,"""n.""","""State of being dual or twofold; a twofold division; any system which is founded on a double principle  or a twofold distinction"""
48414,Dualist,7,"""n.""","""One who believes in dualism; a ditheist."""
48417,Duality,7,"""n.""","""The quality or condition of being two or twofold; dual character or usage."""
48418,Duan,4,"""n.""","""A division of a poem corresponding to a canto; a poem or song."""
48419,Duarchy,7,"""n.""","""Government by two persons."""
48420,Dubbed,6,"""imp. & p. p.""","""of Dub"""
48421,Dubbing,7,"""p. pr. & vb. n.""","""of Dub"""
48422,Dub,3,"""v. t.""","""To confer knighthood upon; as  the king dubbed his son Henry a knight."""
48433,Dubb,4,"""n.""","""The Syrian bear. See under Bear."""
48434,Dubber,6,"""n.""","""One who  or that which dubs."""
48441,Dubiety,7,"""n.""","""Doubtfulness; uncertainty; doubt."""
48444,Dubious,7,"""a.""","""Doubtful or not settled in opinion; being in doubt; wavering or fluctuating; undetermined."""
48456,Ducal,5,"""a.""","""Of or pertaining to a duke."""
48457,Ducally,7,"""adv.""","""In the manner of a duke  or in a manner becoming the rank of a duke."""
48458,Ducat,5,"""n.""","""A coin  either of gold or silver of several countries in Europe; originally one struck in the dominions of a duke."""
48461,Duchess,7,"""n.""","""The wife or widow of a duke; also  a lady who has the sovereignty of a duchy in her own right."""
48463,Duchies,7,"""pl. ""","""of Duchy"""
48464,Duchy,5,"""n.""","""The territory or dominions of a duke; a dukedom."""
48465,Duck,4,"""n.""","""A pet; a darling."""
48468,Ducked,6,"""imp. & p. p.""","""of Duck"""
48469,Ducking,7,"""p. pr. & vb. n.""","""of Duck"""
48479,Ducker,6,"""n.""","""One who  or that which ducks; a plunger; a diver."""
48489,Duct,4,"""n.""","""Any tube or canal by which a fluid or other substance is conducted or conveyed."""
48494,Ductile,7,"""a.""","""Easily led; tractable; complying; yielding to motives  persuasion or instruction; as a ductile people."""
48499,Duction,7,"""n.""","""Guidance."""
48501,Ductor,6,"""n.""","""One who leads."""
48503,Ducture,7,"""n.""","""Guidance."""
48504,Dudder,6,"""v. t.""","""To confuse or confound with noise."""
48507,Duddery,7,"""n.""","""A place where rags are bought and kept for sale."""
48508,Dude,4,"""n.""","""A kind of dandy; especially  one characterized by an ultrafashionable style of dress and other affectations."""
48509,Dudeen,6,"""n.""","""A short tobacco pipe."""
48510,Dudgeon,7,"""n.""","""The root of the box tree  of which hafts for daggers were made."""
48515,Dudish,6,"""a.""","""Like  or characterized of a dude."""
48516,Duds,4,"""n. pl.""","""Old or inferior clothes; tattered garments."""
48518,Due,3,"""a.""","""Owed  as a debt; that ought to be paid or done to or for another; payable; owing and demandable."""
48527,Duebill,7,"""n.""","""A brief written acknowledgment of a debt  not made payable to order like a promissory note."""
48528,Dueful,6,"""a.""","""Fit; becoming."""
48529,Duel,4,"""n.""","""A combat between two persons  fought with deadly weapons by agreement. It usually arises from an injury done or an affront given by one to the other."""
48531,Dueler,6,"""n.""","""One who engages in a duel."""
48532,Dueling,7,"""n.""","""The act or practice of fighting in single combat. Also adj."""
48533,Duelist,7,"""n.""","""One who fights in single combat."""
48534,Duelo,5,"""n.""","""A duel; also  the rules of dueling."""
48535,Due�a,7,"""n.""","""See Do�a."""
48536,Dueness,7,"""n.""","""Quality of being due; debt; what is due or becoming."""
48537,Duennas,7,"""pl. ""","""of Duenna"""
48538,Duenna,6,"""n.""","""The chief lady in waiting on the queen of Spain."""
48541,Duet,4,"""n.""","""A composition for two performers  whether vocal or instrumental."""
48543,Duetto,6,"""n.""","""See Duet."""
48544,Duff,4,"""n.""","""Dough or paste."""
48546,Duffel,6,"""n.""","""A kind of coarse woolen cloth  having a thick nap or frieze."""
48547,Duffer,6,"""n.""","""A peddler or hawker  especially of cheap flashy articles as sham jewelry; hence a sham or cheat."""
48549,Duffle,6,"""n.""","""See Duffel."""
48553,Dugong,6,"""n.""","""An aquatic herbivorous mammal (Halicore dugong)  of the order Sirenia allied to the manatee but with a bilobed tail. It inhabits the Red Sea Indian Ocean East Indies and Australia."""
48554,Dugout,6,"""n.""","""A canoe or boat dug out from a large log."""
48557,Dugway,6,"""n.""","""A way or road dug through a hill  or sunk below the surface of the land."""
48558,Duke,4,"""n.""","""A leader; a chief; a prince."""
48562,Dukedom,7,"""n.""","""The territory of a duke."""
48568,Dulce,5,"""v. t.""","""To make sweet; to soothe."""
48570,Dulcet,6,"""a.""","""Sweet to the taste; luscious."""
48578,Dulcify,7,"""v. t.""","""To sweeten; to free from acidity  saltness or acrimony."""
48585,Dulcite,7,"""n.""","""A white  sugarlike substance C6H8.(OH)2 occurring naturally in a manna from Madagascar and in certain plants and produced artificially by the reduction of galactose and lactose or milk sugar."""
48590,Duledge,7,"""n.""","""One of the dowels joining the ends of the fellies which form the circle of the wheel of a gun carriage."""
48591,Dulia,5,"""n.""","""An inferior kind of veneration or worship  given to the angels and saints as the servants of God."""
48592,Dull,4,"""superl.""","""Slow of understanding; wanting readiness of apprehension; stupid; doltish; blockish."""
48599,Duller,6,"""imp. & p. p.""","""of Dull"""
48600,Dulling,7,"""p. pr. & vb. n.""","""of Dull"""
48606,Dullard,7,"""n.""","""A stupid person; a dunce."""
48613,Dullish,7,"""a.""","""Somewhat dull; uninteresting; tiresome."""
48618,Dully,5,"""adv.""","""In a dull manner; stupidly; slowly; sluggishly; without life or spirit."""
48620,Dulse,5,"""n.""","""A seaweed of a reddish brown color  which is sometimes eaten as in Scotland. The true dulse is Sarcophyllis edulis; the common is Rhodymenia. [Written also dillisk.]"""
48622,Duly,4,"""adv.""","""In a due  fit or becoming manner; as it (anything) ought to be; properly; regularly."""
48623,Dumal,5,"""a.""","""Pertaining to  or set with briers or bushes; brambly."""
48624,Dumb,4,"""a.""","""Destitute of the power of speech; unable; to utter articulate sounds; as  the dumb brutes."""
48630,Dumbly,6,"""adv.""","""In silence; mutely."""
48640,Dummy,5,"""a.""","""Silent; mute; noiseless; as a dummy engine."""
48642,Dummies,7,"""pl. ""","""of Dummy"""
48651,Dumose,6,"""a.""","""Alt. of Dumous"""
48652,Dumous,6,"""a.""","""Abounding with bushes and briers."""
48654,Dump,4,"""n.""","""A thick  ill-shapen piece; a clumsy leaden counter used by boys in playing chuck farthing."""
48659,Dumped,6,"""imp. & p. p.""","""of Dump"""
48660,Dumping,7,"""p. pr. & vb. n.""","""of Dump"""
48667,Dumpage,7,"""n.""","""The act of dumping loads from carts  especially loads of refuse matter; also a heap of dumped matter."""
48670,Dumpish,7,"""a.""","""Dull; stupid; sad; moping; melancholy."""
48671,Dumple,6,"""v. t.""","""To make dumpy; to fold  or bend as one part over another."""
48673,Dumpy,5,"""superl.""","""Short and thick; of low stature and disproportionately stout."""
48675,Dun,3,"""n.""","""A mound or small hill."""
48677,Dunned,6,"""imp. & p. p.""","""of Dun"""
48678,Dunning,7,"""p. pr. & vb. n.""","""of Dun"""
48683,Dunbird,7,"""n.""","""The pochard; -- called also dunair  and dunker or dun-curre."""
48685,Dunce,5,"""n.""","""One backward in book learning; a child or other person dull or weak in intellect; a dullard; a dolt."""
48687,Duncery,7,"""n.""","""Dullness; stupidity."""
48689,Duncify,7,"""v. t.""","""To make stupid in intellect."""
48690,Duncish,7,"""a.""","""Somewhat like a dunce."""
48691,Dunder,6,"""n.""","""The lees or dregs of cane juice  used in the distillation of rum."""
48695,Dune,4,"""n.""","""A low hill of drifting sand usually formed on the coats  but often carried far inland by the prevailing winds."""
48696,Dunfish,7,"""n.""","""Codfish cured in a particular manner  so as to be of a superior quality."""
48698,Dunged,6,"""imp. & p. p.""","""of Dung"""
48699,Dunging,7,"""p. pr. & vb. n.""","""of Dung"""
48704,Dungeon,7,"""n.""","""A close  dark prison common/ under ground as if the lower apartments of the donjon or keep of a castle these being used as prisons."""
48710,Dungy,5,"""a.""","""Full of dung; filthy; vile; low."""
48712,Dunker,6,"""n.""","""One of a religious denomination whose tenets and practices are mainly those of the Baptists  but partly those of the Quakers; -- called also Tunkers Dunkards Dippers and by themselves Brethren and German Baptists."""
48713,Dunlin,6,"""n.""","""A species of sandpiper (Tringa alpina); -- called also churr  dorbie grass bird and red-backed sandpiper. It is found both in Europe and America."""
48714,Dunnage,7,"""n.""","""Fagots  boughs or loose materials of any kind laid on the bottom of the hold for the cargo to rest upon to prevent injury by water or stowed among casks and other cargo to prevent their motion."""
48715,Dunner,6,"""n.""","""One employed in soliciting the payment of debts."""
48716,Dunnish,7,"""a.""","""Inclined to a dun color."""
48717,Dunnock,7,"""a.""","""The hedge sparrow or hedge accentor."""
48718,Dunny,5,"""a.""","""Deaf; stupid."""
48719,Dunt,4,"""n.""","""A blow."""
48720,Dunted,6,"""a.""","""Beaten; hence  blunted."""
48721,Dunter,6,"""n.""","""A porpoise."""
48722,Duo,3,"""n.""","""A composition for two performers; a duet."""
48738,Duomo,5,"""n.""","""A cathedral. See Dome  2."""
48739,Dup,3,"""v. t.""","""To open; as  to dup the door."""
48740,Dupable,7,"""a.""","""Capable of being duped."""
48741,Dupe,4,"""n.""","""One who has been deceived or who is easily deceived; a gull; as  the dupe of a schemer."""
48742,Duped,5,"""imp. & p. p.""","""of Dupe"""
48743,Duping,6,"""p. pr. & vb. n.""","""of Dupe"""
48745,Duper,5,"""n.""","""One who dupes another."""
48746,Dupery,6,"""n.""","""The act or practice of duping."""
48747,Dupion,6,"""n.""","""A double cocoon  made by two silkworms."""
48748,Duple,5,"""a.""","""Double."""
48749,Duplex,6,"""a.""","""Double; twofold."""
48768,Dupper,6,"""n.""","""See 2d Dubber."""
48769,Dur,3,"""a.""","""Major; in the major mode; as  C dur that is C major."""
48770,Dura,4,"""n.""","""Short form for Dura mater."""
48772,Durable,7,"""a.""","""Able to endure or continue in a particular condition; lasting; not perishable or changeable; not wearing out or decaying soon; enduring; as  durable cloth; durable happiness."""
48774,Durably,7,"""adv.""","""In a lasting manner; with long continuance."""
48775,Dural,5,"""a.""","""Pertaining to the dura  or dura mater."""
48777,Duramen,7,"""n.""","""The heartwood of an exogenous tree."""
48778,Durance,7,"""n.""","""Continuance; duration. See Endurance."""
48782,Durancy,7,"""n.""","""Duration."""
48783,Durant,6,"""n.""","""See Durance  3."""
48784,Durante,7,"""prep.""","""During; as  durante vita during life; durante bene placito during pleasure."""
48787,Durbar,6,"""n.""","""An audience hall; the court of a native prince; a state levee; a formal reception of native princes  given by the governor general of India."""
48788,Dure,4,"""a.""","""Hard; harsh; severe; rough; toilsome."""
48790,Dureful,7,"""a.""","""Lasting."""
48792,Durene,6,"""n.""","""A colorless  crystalline aromatic hydrocarbon C6H2(CH3)4 off artificial production with an odor like camphor."""
48793,Duress,6,"""n.""","""Hardship; constraint; pressure; imprisonment; restraint of liberty."""
48797,Durga,5,"""n.""","""Same as Doorga."""
48798,Durham,6,"""n.""","""One or a breed of short-horned cattle  originating in the county of Durham England. The Durham cattle are noted for their beef-producing quality."""
48799,Durian,6,"""n.""","""Alt. of Durion"""
48800,Durion,6,"""n.""","""The fruit of the durio. It is oval or globular  and eight or ten inches long. It has a hard prickly rind containing a soft cream-colored pulp of a most delicious flavor and a very offensive odor. The seeds are roasted and eaten like chestnuts."""
48801,During,6,"""prep.""","""In the time of; as long as the action or existence of; as  during life; during the space of a year."""
48802,Durio,5,"""n.""","""A fruit tree (D. zibethinus  the only species known) of the Indian Archipelago. It bears the durian."""
48803,Durity,6,"""n.""","""Hardness; firmness."""
48806,Durous,6,"""a.""","""Hard."""
48807,Durra,5,"""n.""","""A kind of millet  cultivated throughout Asia and introduced into the south of Europe; a variety of Sorghum vulgare; -- called also Indian millet and Guinea corn."""
48810,Durylic,7,"""a.""","""Pertaining to  allied to or derived from durene; as durylic acid."""
48811,Duse,4,"""n.""","""A demon or spirit. See Deuce."""
48812,Dusk,4,"""a.""","""Tending to darkness or blackness; moderately dark or black; dusky."""
48817,Dusken,6,"""v. t.""","""To make dusk or obscure."""
48818,Duskily,7,"""adv.""","""In a dusky manner."""
48820,Duskish,7,"""a.""","""Somewhat dusky."""
48822,Dusky,5,"""a.""","""Partially dark or obscure; not luminous; dusk; as  a dusky valley."""
48826,Dust,4,"""n.""","""Fine  dry particles of earth or other matter so comminuted that they may be raised and wafted by the wind; that which is crumbled too minute portions; fine powder; as clouds of dust; bone dust."""
48834,Dusted,6,"""imp. & p. p.""","""of Dust"""
48835,Dusting,7,"""p. pr. & vb. n.""","""of Dust"""
48840,Duster,6,"""n.""","""One who  or that which dusts; a utensil that frees from dust."""
48846,Dustmen,7,"""pl. ""","""of Dustman"""
48847,Dustman,7,"""p.""","""One whose employment is to remove dirt and defuse."""
48848,Dustpan,7,"""n.""","""A shovel-like utensil for conveying away dust brushed from the floor."""
48850,Dusty,5,"""superl.""","""Filled  covered or sprinkled with dust; clouded with dust; as a dusty table; also reducing to dust."""
48852,Dutch,5,"""a.""","""Pertaining to Holland  or to its inhabitants."""
48857,Duteous,7,"""a.""","""Fulfilling duty; dutiful; having the sentiments due to a superior  or to one to whom respect or service is owed; obedient; as a duteous son or daughter."""
48860,Dutied,6,"""a.""","""Subjected to a duty."""
48861,Dutiful,7,"""a.""","""Performing  or ready to perform the duties required by one who has the right to claim submission obedience or deference; submissive to natural or legal superiors; obedient as to parents or superiors; as a dutiful son or daughter; a dutiful ward or servant; a dutiful subject."""
48863,Duties,6,"""pl. ""","""of Duty"""
48864,Duty,4,"""n.""","""That which is due; payment."""
48873,Duumvir,7,"""n.""","""One of two Roman officers or magistrates united in the same public functions."""
48876,Dux,3,"""n.""","""The scholastic name for the theme or subject of a fugue  the answer being called the comes or companion."""
48878,Duyoung,7,"""n.""","""See Dugong."""
48879,D valve,7,"""""","""A kind of slide valve. See Slide valve  under Slide."""
48880,Dvergar,7,"""pl. ""","""of Dvergr"""
48881,Dvergr,6,"""n.""","""A dwarf supposed to dwell in rocks and hills and to be skillful in working metals."""
48882,Dwale,5,"""a.""","""The deadly nightshade (Atropa Belladonna)  having stupefying qualities."""
48885,Dwang,5,"""n.""","""A piece of wood set between two studs  posts etc. to stiffen and support them."""
48888,Dwarfs,6,"""pl. ""","""of Dwarf"""
48889,Dwarf,5,"""n.""","""An animal or plant which is much below the ordinary size of its species or kind; especially  a diminutive human being."""
48890,Dwarfed,7,"""imp. & p. p.""","""of Dwarf"""
48896,Dwarfy,6,"""a.""","""Much undersized."""
48897,Dwaul,5,"""v. i.""","""Alt. of Dwaule"""
48898,Dwaule,6,"""v. i.""","""To be delirious."""
48899,Dwelled,7,"""imp. & p. p.""","""of Dwell"""
48900,Dwelt,5,"""""","""of Dwell"""
48902,Dwell,5,"""v. i.""","""To delay; to linger."""
48906,Dweller,7,"""n.""","""An inhabitant; a resident; as  a cave dweller."""
48911,Dwindle,7,"""v. i.""","""To diminish; to become less; to shrink; to waste or consume away; to become degenerate; to fall away."""
48916,Dwine,5,"""v. i.""","""To waste away; to pine; to languish."""
48917,Dyad,4,"""n.""","""Two units treated as one; a couple; a pair."""
48920,Dyadic,6,"""a.""","""Pertaining to the number two; of two parts or elements."""
48921,Dyaks,5,"""n. pl.""","""The aboriginal and most numerous inhabitants of Borneo. They are partially civilized  but retain many barbarous practices."""
48922,Dyas,4,"""n.""","""A name applied in Germany to the Permian formation  there consisting of two principal groups."""
48923,Dyed,4,"""imp. & p. p.""","""of Dye"""
48924,Dyeing,6,"""p. pr. & vb. n.""","""of Dye"""
48925,Dye,3,"""v. t.""","""To stain; to color; to give a new and permanent color to  as by the application of dyestuffs."""
48931,Dyer,4,"""n.""","""One whose occupation is to dye cloth and the like."""
48933,Dyewood,7,"""n.""","""Any wood from which coloring matter is extracted for dyeing."""
48937,Dyingly,7,"""adv.""","""In a dying manner; as if at the point of death."""
48939,Dyke,4,"""n.""","""See Dike. The spelling dyke is restricted by some to the geological meaning."""
48941,Dynam,5,"""n.""","""A unit of measure for dynamical effect or work; a foot pound. See Foot pound."""
48945,Dynamic,7,"""a.""","""Alt. of Dynamical"""
48960,Dynamo,6,"""n.""","""A dynamo-electric machine."""
48967,Dynast,6,"""n.""","""A ruler; a governor; a prince."""
48969,Dynasta,7,"""n.""","""A tyrant."""
48974,Dynasty,7,"""n.""","""Sovereignty; lordship; dominion."""
48976,Dyne,4,"""n.""","""The unit of force  in the C. G. S. (Centimeter Gram Second) system of physical units; that is the force which acting on a gram for a second generates a velocity of a centimeter per second."""
48992,Dysnomy,7,"""n.""","""Bad legislation; the enactment of bad laws."""
49009,Dystome,7,"""a.""","""Cleaving with difficulty."""
49010,Dysuria,7,"""n.""","""Alt. of Dysury"""
49011,Dysury,6,"""n.""","""Difficult or painful discharge of urine."""
49012,Dysuric,7,"""a.""","""Pertaining to  or afflicted with dysury."""
49013,Dzeren,6,"""n.""","""Alt. of Dzeron"""
49014,Dzeron,6,"""n.""","""The Chinese yellow antelope (Procapra gutturosa)  a remarkably swift-footed animal inhabiting the deserts of Central Asia Thibet and China."""
49019,Each,4,"""a. / a. pron.""","""Every one of the two or more individuals composing a number of objects  considered separately from the rest. It is used either with or without a following noun; as each of you or each one of you."""
49022,Eadish,6,"""n.""","""See Eddish."""
49023,Eager,5,"""a.""","""Sharp; sour; acid."""
49028,Eagerly,7,"""adv.""","""In an eager manner."""
49031,Eagle,5,"""n.""","""Any large  rapacious bird of the Falcon family esp. of the genera Aquila and Haliaeetus. The eagle is remarkable for strength size graceful figure keenness of vision and extraordinary flight. The most noted species are the golden eagle (Aquila chrysaetus); the imperial eagle of Europe (A. mogilnik / imperialis); the American bald eagle (Haliaeetus leucocephalus); the European sea eagle (H. albicilla); and the great harpy eagle (Thrasaetus harpyia). The figure of the eagle as the king of birds is commonly used as an heraldic emblem and also for standards and emblematic devices. See Bald eagle Harpy and Golden eagle."""
49037,Eagless,7,"""n.""","""A female or hen eagle."""
49039,Eaglet,6,"""n.""","""A young eagle  or a diminutive eagle."""
49042,Eagrass,7,"""n.""","""See Eddish."""
49043,Eagre,5,"""n.""","""A wave  or two or three successive waves of great height and violence at flood tide moving up an estuary or river; -- commonly called the bore. See Bore."""
49046,Eale,4,"""n.""","""Ale."""
49047,Eame,4,"""n.""","""Uncle."""
49048,Ean,3,"""v. t. & i.""","""To bring forth  as young; to yean."""
49049,Eanling,7,"""n.""","""A lamb just brought forth; a yeanling."""
49050,Ear,3,"""n.""","""The organ of hearing; the external ear."""
49056,Eared,5,"""imp. & p. p.""","""of Ear"""
49057,Earing,6,"""p. pr. & vb. n.""","""of Ear"""
49062,Earable,7,"""a.""","""Arable; tillable."""
49063,Earache,7,"""n.""","""Ache or pain in the ear."""
49064,Earal,5,"""a.""","""Receiving by the ear."""
49066,Earcap,6,"""n.""","""A cap or cover to protect the ear from cold."""
49068,Eardrop,7,"""n.""","""A pendant for the ear; an earring; as  a pair of eardrops."""
49070,Eardrum,7,"""n.""","""The tympanum. See Illust. of Ear."""
49079,Earl,4,"""n.""","""A nobleman of England ranking below a marquis  and above a viscount. The rank of an earl corresponds to that of a count (comte) in France and graf in Germany. Hence the wife of an earl is still called countess. See Count."""
49081,Earlap,6,"""n.""","""The lobe of the ear."""
49082,Earldom,7,"""n.""","""The jurisdiction of an earl; the territorial possessions of an earl."""
49087,Earless,7,"""a.""","""Without ears; hence  deaf or unwilling to hear."""
49088,Earlet,6,"""n.""","""An earring."""
49091,Earlock,7,"""n.""","""A lock or curl of hair near the ear; a lovelock. See Lovelock."""
49092,Early,5,"""adv.""","""Soon; in good season; seasonably; betimes; as  come early."""
49095,Earmark,7,"""n.""","""A mark on the ear of sheep  oxen dogs etc. as by cropping or slitting."""
49100,Earn,4,"""n.""","""See Ern  n."""
49101,Earned,6,"""imp. & p. p.""","""of Earn"""
49102,Earning,7,"""p. pr. & vb. n.""","""of Earn"""
49108,Earnest,7,"""n.""","""Seriousness; reality; fixed determination; eagerness; intentness."""
49118,Earnful,7,"""a.""","""Full of anxiety or yearning."""
49121,Earpick,7,"""n.""","""An instrument for removing wax from the ear."""
49124,Earring,7,"""n.""","""An ornament consisting of a ring passed through the lobe of the ear  with or without a pendant."""
49125,Earsh,5,"""n.""","""See Arrish."""
49127,Earshot,7,"""n.""","""Reach of the ear; distance at which words may be heard."""
49129,Earsore,7,"""n.""","""An annoyance to the ear."""
49131,Earst,5,"""adv.""","""See Erst."""
49132,Earth,5,"""n.""","""The globe or planet which we inhabit; the world  in distinction from the sun moon or stars. Also this world as the dwelling place of mortals in distinction from the dwelling place of spirits."""
49141,Earthed,7,"""imp. & p. p.""","""of Earth"""
49155,Earthen,7,"""a.""","""Made of earth; made of burnt or baked clay  or other like substances; as an earthen vessel or pipe."""
49163,Earthly,7,"""a.""","""Pertaining to the earth; belonging to this world  or to man's existence on the earth; not heavenly or spiritual; carnal; worldly; as earthly joys; earthly flowers; earthly praise."""
49187,Earthy,6,"""a.""","""Consisting of  or resembling earth; terrene; earthlike; as earthy matter."""
